INFO:root:			wsddn_cls: 4.2411, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2500] loss: 5.2041, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.1014, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2600] loss: 5.1179, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.4274, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2700] loss: 5.3214, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2602, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2800] loss: 5.5236, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.7307, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2900] loss: 5.3397, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.6746, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3000] loss: 5.1493, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9733, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3100] loss: 4.8179, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.3798, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3200] loss: 5.0848, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.3233, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3300] loss: 4.8454, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.2721, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3400] loss: 5.0122, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.6969, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3500] loss: 4.9017, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4659, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3600] loss: 5.2471, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1481, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3700] loss: 4.9427, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5295, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3800] loss: 4.9705, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.2708, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 3900] loss: 4.9508, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.9237, wsddn_box 0.0000
